-0.002,0.001,0.007,0.0,-0.003,0.008,-0.004,0.003,-0.011,-0.001,-0.004,-0.006,-0.007,0.012,0.018,0.001,-0.011,0.002,-0.007,-0.006,-0.007,-0.004,0.006,-0.0,-0.003,-0.007,0.004,0.001,38.711,0.324,39.096,0.328,15.683,15.707,39.023,0.0,39.071,16.22,15.708,39.24,0.281,0.333,
0.999,-0.322,0.199,0.131,0.362,-0.21,0.038,-0.171,0.44,-0.237,0.363,0.0,0.356,0.156,0.055,-0.361,0.44,-0.137,0.357,0.0,0.356,0.031,0.084,-0.015,0.152,-0.238,0.091,0.09,225.924,226.393,226.902,225.978,226.23,226.149,226.307,225.752,226.851,225.628,224.295,226.859,226.409,225.972,
3.438,-0.238,0.198,0.131,0.302,-0.27,0.038,-0.171,0.622,0.023,0.327,-0.001,0.312,0.077,0.082,-0.36,0.622,-0.136,0.342,-0.001,0.312,-0.015,0.02,-0.044,0.18,-0.194,0.029,0.027,229.283,224.853,226.702,223.686,227.058,226.808,226.253,228.562,226.655,225.953,224.231,227.007,224.78,223.674,
3.391,-0.231,0.161,0.083,0.317,-0.265,0.047,-0.175,0.584,0.097,0.218,-0.037,0.389,0.123,0.078,-0.359,0.584,-0.123,0.281,-0.037,0.389,-0.014,0.019,-0.038,0.273,-0.049,-0.154,-0.151,229.165,224.907,226.721,223.145,226.629,226.334,226.293,228.835,226.641,225.787,224.115,226.986,224.968,222.978,
3.387,-0.231,0.079,-0.073,0.317,-0.284,0.082,-0.178,0.69,0.209,0.364,-0.002,0.467,0.133,0.074,-0.357,0.69,-0.13,0.24,-0.002,0.467,-0.014,0.021,-0.042,0.309,-0.048,-0.152,-0.149,229.136,224.423,226.775,222.896,227.18,226.896,226.369,228.812,226.684,225.917,224.311,227.025,224.521,222.732,
3.411,-0.237,0.078,-0.071,0.342,-0.27,0.082,-0.178,0.685,0.221,0.392,-0.012,0.517,0.201,0.07,-0.354,0.685,-0.133,0.308,-0.012,0.517,-0.015,0.036,-0.033,0.209,-0.092,-0.152,-0.149,229.132,224.062,226.818,222.814,227.417,227.143,226.412,229.023,226.728,226.087,224.427,227.04,224.024,222.649,
3.409,-0.247,0.079,-0.071,0.403,-0.228,0.082,-0.177,0.462,-0.211,0.374,-0.053,0.274,0.059,0.07,-0.353,0.462,-0.13,0.354,-0.053,0.274,-0.016,0.969,-0.024,0.132,-0.227,-0.045,-0.037,228.835,224.509,226.93,223.025,226.249,226.143,226.349,228.754,226.891,225.541,223.867,227.425,224.52,222.864,
3.355,-0.215,1.468,0.066,0.391,-0.195,0.081,-0.175,0.407,-0.318,0.356,-0.051,1.112,0.021,0.061,-0.342,0.407,-0.129,0.32,-0.051,1.112,-0.015,3.441,0.05,0.136,-0.226,0.25,0.243,229.767,224.434,226.904,223.2,225.42,225.335,226.494,231.443,226.774,225.005,223.263,227.883,224.465,223.328,
2.558,-0.178,7.136,-0.077,0.382,-0.224,0.08,-0.178,0.302,-0.436,0.342,-0.037,3.607,-0.031,0.038,-0.333,0.302,-0.128,0.386,-0.037,3.607,-0.014,3.334,-0.007,0.131,-0.224,0.028,0.022,228.513,234.647,226.79,225.49,220.543,220.54,226.906,233.088,226.329,222.65,220.888,226.95,233.175,225.481,
0.285,-0.095,7.048,-0.072,0.311,-0.306,0.08,-0.178,0.286,-0.405,0.295,0.0,3.744,-0.011,0.039,-0.336,0.286,-0.124,0.368,0.0,3.744,-0.015,3.352,0.008,0.127,-0.224,-0.154,-0.15,225.574,235.046,226.868,226.56,220.563,220.548,226.846,230.771,226.402,222.757,220.966,226.736,233.605,226.396,
